town,flat_type,resale_price
JURONG EAST,EXECUTIVE,720000
JURONG EAST,EXECUTIVE,720000
JURONG EAST,EXECUTIVE,720000
JURONG EAST,EXECUTIVE,720000
JURONG EAST,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
TAMPINES,EXECUTIVE,720000
JURONG EAST,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,718000
TAMPINES,EXECUTIVE,717000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,715000
TAMPINES,EXECUTIVE,712500
TAMPINES,EXECUTIVE,712000
TAMPINES,EXECUTIVE,712000
TAMPINES,EXECUTIVE,712000
TAMPINES,EXECUTIVE,712000
TAMPINES,EXECUTIVE,711000
JURONG EAST,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,710000
TAMPINES,EXECUTIVE,708888
TAMPINES,EXECUTIVE,708888
JURONG EAST,EXECUTIVE,708000
TAMPINES,EXECUTIVE,708000
TAMPINES,EXECUTIVE,708000
TAMPINES,EXECUTIVE,708000
TAMPINES,EXECUTIVE,708000
TAMPINES,EXECUTIVE,707000
TAMPINES,EXECUTIVE,706888
TAMPINES,EXECUTIVE,706800
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,705000
TAMPINES,EXECUTIVE,703000
TAMPINES,EXECUTIVE,702000
JURONG EAST,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,700000
TAMPINES,EXECUTIVE,698888
TAMPINES,EXECUTIVE,698888
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
TAMPINES,EXECUTIVE,698000
JURONG EAST,EXECUTIVE,697000
TAMPINES,EXECUTIVE,696000
TAMPINES,EXECUTIVE,696000
TAMPINES,EXECUTIVE,695888
JURONG EAST,EXECUTIVE,695000
JURONG EAST,EXECUTIVE,695000
JURONG EAST,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,695000
TAMPINES,EXECUTIVE,692000
TAMPINES,EXECUTIVE,692000
JURONG EAST,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,690000
TAMPINES,EXECUTIVE,688188
JURONG EAST,EXECUTIVE,688000
JURONG EAST,EXECUTIVE,688000
JURONG EAST,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
